Gender,Year,Quarter,Industry,Organization_Size,Value
Homme,2024,AVG,"Services professionnels, scientifiques et techniques",100 employés et plus,1455
Homme,2024,AVG,"Services professionnels, scientifiques et techniques",20 à 99 employés,9367.5
Homme,2024,AVG,"Services professionnels, scientifiques et techniques",5 à 19 employés,20935
Homme,2024,AVG,"Services professionnels, scientifiques et techniques",Toutes les tailles,113000
Homme,2024,AVG,Immobilier et location et crédit-bail,1 à 4 employés,29352.5
Homme,2024,AVG,Immobilier et location et crédit-bail,100 employés et plus,307.5
Homme,2024,AVG,Immobilier et location et crédit-bail,20 à 99 employés,2122.5
Homme,2024,AVG,Immobilier et location et crédit-bail,5 à 19 employés,8535
Homme,2024,AVG,Immobilier et location et crédit-bail,Toutes les tailles,40317.5
Homme,2024,AVG,Commerce de détail,1 à 4 employés,34567.5
Homme,2024,AVG,Commerce de détail,100 employés et plus,3040
Homme,2024,AVG,Commerce de détail,20 à 99 employés,16367.5
Homme,2024,AVG,Commerce de détail,5 à 19 employés,43105
Homme,2024,AVG,Commerce de détail,Toutes les tailles,97080
Homme,2024,AVG,Transport et entrposage,1 à 4 employés,49107.5
Homme,2024,AVG,Transport et entrposage,100 employés et plus,1035
Homme,2024,AVG,Transport et entrposage,20 à 99 employés,5285
Homme,2024,AVG,Transport et entrposage,5 à 19 employés,11247.5
Homme,2024,AVG,Transport et entrposage,Toutes les tailles,66675
Homme,2024,AVG,Commerce de gros,1 à 4 employés,19010
Homme,2024,AVG,Commerce de gros,100 employés et plus,1407.5
Homme,2024,AVG,Commerce de gros,20 à 99 employés,7432.5
Homme,2024,AVG,Commerce de gros,5 à 19 employés,19982.5
Homme,2024,AVG,Commerce de gros,Toutes les tailles,47832.5
